Variable,Model,Best Score (gridsearch),Train Score,Test Score,Accuracy,ROC Accuracy,Precision,Recall,Specificity,F1 Score,Best Params
gs,Random Forest Classifier,0.952763058289175,1.000000000000000,0.953020134228187,0.953020134228187,0.953012220770418,0.946453407510431,0.960479887085391,0.945544554455445,0.953415061295972,"{'rf__max_depth': None, 'rf__n_estimators': 200}"
tree_gs,Decision Tree Classifier,0.953217259651779,1.000000000000000,0.949134581419993,0.949134581419993,0.949132278385616,0.947294448348559,0.951305575158786,0.946958981612447,0.949295774647887,"{'tree__max_depth': None, 'tree__random_state': 1}"
log_gs,Logistic Regression,0.965480696442089,0.999848599545798,0.967855881314023,0.967855881314023,0.967844989963256,0.958506224066390,0.978122794636556,0.957567185289957,0.968215158924205,"{'log_reg__C': 1, 'log_reg__penalty': 'l2'}"
gs_svm,SVM: Linear SVC,0.960938682816048,1.000000000000000,0.962910632285411,0.962910632285411,0.962901981296022,0.955555555555555,0.971065631616090,0.954738330975954,0.963248162408120,{'ln_svc__max_iter': 5000}
gs_svc,SVM: C-Support Vector Classification,0.899621498864496,0.933080999242997,0.914517838219710,0.914517838219710,0.914575387370373,0.965162311955661,0.860268172194777,0.968882602545968,0.909701492537313,"{'svc__C': 2, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}"
